Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
AT1G01010	AT1G01010	Chr1	+	3631	5899	3.704088	2.203148	3.855969
AT1G01020	AT1G01020	Chr1	-	5928	8737	14.292022	10.963008	19.187559
AT1G01030	AT1G01030	Chr1	-	11649	13714	0.230446	0.137067	0.239895
AT1G01040	AT1G01040	Chr1	+	23146	31227	6.582257	3.919966	6.860761
AT1G01046	AT1G01046	Chr1	+	28500	28706	2.992754	1.780055	3.115468
AT1G01050	AT1G01050	Chr1	-	31170	33153	100.143188	59.563980	104.249428
AT1G01060	AT1G01060	Chr1	-	33379	37871	31.790329	22.660864	39.661247
AT1G01080	AT1G01080	Chr1	-	45296	47019	142.896759	85.173958	149.072250
AT1G01090	AT1G01090	Chr1	-	47485	49286	164.395462	97.780464	171.136261
AT1G01110	AT1G01110	Chr1	+	52239	54692	4.612371	2.913903	5.099939
AT1G01130	AT1G01130	Chr1	-	61905	63811	5.870296	3.491582	6.111000
AT1G01120	AT1G01120	Chr1	-	57269	59167	24.501842	14.573405	25.506508
AT1G01140	AT1G01140	Chr1	-	64166	67625	12.723778	7.648575	13.386607
AT1G01150	AT1G01150	Chr1	-	70115	72138	0.924973	0.550163	0.962900
AT1G01180	AT1G01180	Chr1	+	75583	76758	0.632653	0.376294	0.658594
AT1G01200	AT1G01200	Chr1	-	86515	88213	4.421589	2.629909	4.602890
AT1G01160	AT1G01160	Chr1	+	72339	74096	77.591972	50.615185	88.587166
AT1G01170	AT1G01170	Chr1	-	73931	74737	131.045212	78.017380	136.546738
AT1G01210	AT1G01210	Chr1	+	88898	89745	35.597191	21.172787	37.056808
AT1G01100	AT1G01100	Chr1	-	50075	51199	1497.000488	963.146790	1685.708374
AT1G01225	AT1G01225	Chr1	+	95987	97407	4.360533	2.593593	4.539331
AT1G01230	AT1G01230	Chr1	+	97456	99240	19.232944	11.439527	20.021566
AT1G01220	AT1G01220	Chr1	+	91376	95651	13.986411	8.318952	14.559905
AT1G01250	AT1G01250	Chr1	-	104491	105330	1.833333	1.090445	1.908506
AT1G01240	AT1G01240	Chr1	+	99894	101834	6.554353	5.370812	9.400044
