Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
AT1G01010	AT1G01010	Chr1	+	3631	5899	6.175652	2.850199	5.223363
AT1G01020	AT1G01020	Chr1	-	5928	8737	20.549631	12.005537	22.001720
AT1G01030	AT1G01030	Chr1	-	11649	13714	2.031169	0.937429	1.717962
AT1G01040	AT1G01040	Chr1	+	23146	31227	10.021292	4.732933	8.673720
AT1G01046	AT1G01046	Chr1	+	28500	28706	4.014493	1.852777	3.395456
AT1G01050	AT1G01050	Chr1	-	31170	33153	106.825562	49.302341	90.352997
AT1G01060	AT1G01060	Chr1	-	33379	37871	43.794098	24.250025	44.441345
AT1G01080	AT1G01080	Chr1	-	45296	47019	172.284378	79.676132	146.016953
AT1G01090	AT1G01090	Chr1	-	47485	49286	180.905411	83.491806	153.009674
AT1G01110	AT1G01110	Chr1	+	52239	54692	4.811453	2.701877	4.951544
AT1G01120	AT1G01120	Chr1	-	57269	59167	22.511322	10.389468	19.040064
AT1G01130	AT1G01130	Chr1	-	61905	63811	9.891754	4.565261	8.366440
AT1G01140	AT1G01140	Chr1	-	64166	67625	21.309315	9.936723	18.210348
AT1G01150	AT1G01150	Chr1	-	70115	72138	1.723648	0.795501	1.457860
AT1G01160	AT1G01160	Chr1	+	72339	74096	68.746124	34.796009	63.768250
AT1G01170	AT1G01170	Chr1	-	73931	74737	78.129486	36.082710	66.126297
AT1G01180	AT1G01180	Chr1	+	75583	76758	0.900510	0.415605	0.761651
AT1G01183	AT1G01183	Chr1	-	78932	79032	0.000000	0.000000	0.000000
AT1G01190	AT1G01190	Chr1	-	83045	84864	0.493573	0.227795	0.417464
AT1G01200	AT1G01200	Chr1	-	86515	88213	2.494735	1.151375	2.110045
AT1G01210	AT1G01210	Chr1	+	88898	89745	51.100079	23.583807	43.220417
AT1G01100	AT1G01100	Chr1	-	50075	51199	1855.689453	926.873962	1698.618042
AT1G01225	AT1G01225	Chr1	+	95987	97407	12.083902	5.576986	10.220557
AT1G01230	AT1G01230	Chr1	+	97456	99240	38.919468	17.962187	32.918064
AT1G01220	AT1G01220	Chr1	+	91376	95651	17.289019	7.979262	14.623041
AT1G01250	AT1G01250	Chr1	-	104491	105330	1.715476	0.791730	1.450949
AT1G01240	AT1G01240	Chr1	+	99894	101834	8.212777	5.199358	9.528504
AT1G01290	AT1G01290	Chr1	+	114286	116108	33.199986	17.940609	32.878517
AT1G01260	AT1G01260	Chr1	+	108946	111609	3.434714	1.638564	3.002883
AT1G01300	AT1G01300	Chr1	+	116943	118764	0.000000	0.000000	0.000000
AT1G01340	AT1G01340	Chr1	-	132328	135831	1.613807	0.783637	1.436117
AT1G01310	AT1G01310	Chr1	+	120154	121130	0.000000	0.000000	0.000000
AT1G01320	AT1G01320	Chr1	-	121067	130577	176.405640	82.219231	150.677536
AT1G01360	AT1G01360	Chr1	+	141971	143183	11.006000	5.079510	9.308868
AT1G01350	AT1G01350	Chr1	+	136124	138162	41.744286	19.265903	35.307293
AT1G01370	AT1G01370	Chr1	+	143564	145684	76.818878	39.752491	72.851646
AT1G01380	AT1G01380	Chr1	+	147153	147942	18.377485	8.481612	15.543667
AT1G01420	AT1G01420	Chr1	-	154492	156011	0.217763	0.100502	0.184184
AT1G01430	AT1G01430	Chr1	-	156801	158655	10.301120	4.754193	8.712683
AT1G01440	AT1G01440	Chr1	-	159856	162572	13.989151	6.456300	11.832016
AT1G01448	AT1G01448	Chr1	+	163419	166239	2.882767	1.557750	2.854781
AT1G01450	AT1G01450	Chr1	-	164105	165517	0.000000	0.000000	0.000000
AT1G01470	AT1G01470	Chr1	-	172146	172948	4.461485	2.059073	3.773521
AT1G01490	AT1G01490	Chr1	-	180059	182358	13.938114	6.941051	12.720387
AT1G01500	AT1G01500	Chr1	+	185133	186923	0.000000	0.000000	0.000000
AT1G01510	AT1G01510	Chr1	+	187211	190056	32.813362	15.144086	27.753523
AT1G01520	AT1G01520	Chr1	+	190596	192139	1.624426	0.749708	1.373939
AT1G01530	AT1G01530	Chr1	-	192640	193670	0.268617	0.123973	0.227196
AT1G01540	AT1G01540	Chr1	+	195780	198684	34.046009	16.289305	29.852285
AT1G01570	AT1G01570	Chr1	+	205176	207435	1.925889	0.888840	1.628916
AT1G01580	AT1G01580	Chr1	+	209395	213041	0.083852	0.038700	0.070922
AT1G01550	AT1G01550	Chr1	+	199639	201775	93.104050	45.999638	84.300362
AT1G01600	AT1G01600	Chr1	+	218994	221286	30.589922	14.117919	25.872936
AT1G01610	AT1G01610	Chr1	-	221691	224340	45.343746	20.927134	38.351715
AT1G01630	AT1G01630	Chr1	+	229013	230917	99.923523	46.116898	84.515259
AT1G01640	AT1G01640	Chr1	-	230994	232508	0.646257	0.322955	0.591857
AT1G01650	AT1G01650	Chr1	-	232841	237817	23.381517	11.193247	20.513090
AT1G01660	AT1G01660	Chr1	-	240057	242608	1.011746	0.466943	0.855734
AT1G01670	AT1G01670	Chr1	-	242843	245988	2.107305	0.972567	1.782357
AT1G01620	AT1G01620	Chr1	-	225665	227302	684.011108	315.973511	579.062866
AT1G01690	AT1G01690	Chr1	+	249141	252462	36.918701	17.038792	31.225815
AT1G01695	AT1G01695	Chr1	+	252947	254495	1.026819	0.473899	0.868483
AT1G01700	AT1G01700	Chr1	-	259495	261474	5.626186	2.596608	4.758625
AT1G01710	AT1G01710	Chr1	+	262828	267771	28.009233	12.926875	23.690193
AT1G01720	AT1G01720	Chr1	+	268330	269819	4.336408	2.001348	3.667732
AT1G01725	AT1G01725	Chr1	-	269792	270775	19.309052	8.911551	16.331585
AT1G01730	AT1G01730	Chr1	+	270956	272061	9.515466	4.391597	8.048177
AT1G01740	AT1G01740	Chr1	-	272111	274569	12.072009	5.601916	10.266244
AT1G01750	AT1G01750	Chr1	+	275366	276310	4.449940	2.053745	3.763757
AT1G01760	AT1G01760	Chr1	-	276266	278448	10.885736	5.024006	9.207150
AT1G01770	AT1G01770	Chr1	+	278615	282891	11.821980	5.456103	9.999024
AT1G01780	AT1G01780	Chr1	+	282761	284245	16.928305	7.812784	14.317950
AT1G01800	AT1G01800	Chr1	+	293342	295040	82.516014	38.221882	70.046608
AT1G01790	AT1G01790	Chr1	+	284610	291094	42.362236	19.551102	35.829956
AT1G01810	AT1G01810	Chr1	+	295221	295859	2.444444	1.128165	2.067509
AT1G01820	AT1G01820	Chr1	-	296001	298120	87.970520	40.600327	74.405418
AT1G01830	AT1G01830	Chr1	-	298535	302315	17.494848	8.419426	15.429701
AT1G01880	AT1G01880	Chr1	-	306480	309109	8.927855	4.120401	7.551175
AT1G01840	AT1G01840	Chr1	+	303537	304358	0.000000	0.000000	0.000000
AT1G01860	AT1G01860	Chr1	-	304133	306287	45.193913	20.857983	38.224983
AT1G01900	AT1G01900	Chr1	+	310316	313130	4.697674	2.168079	3.973290
AT1G01910	AT1G01910	Chr1	-	313101	315902	70.829216	35.712429	65.447701
AT1G01920	AT1G01920	Chr1	+	316128	319650	26.440733	12.746107	23.358912
AT1G01930	AT1G01930	Chr1	-	319836	322860	19.395096	8.951262	16.404362
AT1G01940	AT1G01940	Chr1	+	323027	324917	96.535324	44.553169	81.649529
AT1G01970	AT1G01970	Chr1	+	338291	340077	38.617950	17.823032	32.663040
AT1G01950	AT1G01950	Chr1	+	325379	330619	19.407290	9.145298	16.759958
AT1G01960	AT1G01960	Chr1	-	330588	337582	24.583790	11.345958	20.792953
AT1G01990	AT1G01990	Chr1	-	343166	344341	0.000000	0.000000	0.000000
AT1G02000	AT1G02000	Chr1	+	345812	347592	6.755194	3.117670	5.713539
AT1G02010	AT1G02010	Chr1	+	347891	352480	7.797943	3.598922	6.595496
AT1G02020	AT1G02020	Chr1	-	352637	354969	9.666951	4.606906	8.442759
AT1G02030	AT1G02030	Chr1	-	355321	357258	0.000000	0.000000	0.000000
AT1G02065	AT1G02065	Chr1	+	365209	367340	7.127163	4.095306	7.505184
AT1G02070	AT1G02070	Chr1	-	370257	370967	2.927145	1.350942	2.475778
AT1G02074	AT1G02074	Chr1	+	372064	372210	0.000000	0.000000	0.000000
AT1G02050	AT1G02050	Chr1	-	359117	360518	1.141462	0.526810	0.965448
AT1G02060	AT1G02060	Chr1	-	360918	363094	0.000000	0.000000	0.000000
AT1G02080	AT1G02080	Chr1	+	373335	386847	27.651905	12.889906	23.622440
AT1G02090	AT1G02090	Chr1	-	387277	389647	93.998108	65.071571	119.252182
AT1G02100	AT1G02100	Chr1	+	389812	392816	46.032764	21.786264	39.926186
AT1G02110	AT1G02110	Chr1	+	392831	395528	43.189621	19.932957	36.529755
AT1G02120	AT1G02120	Chr1	+	395761	399897	27.894342	12.873851	23.593018
AT1G02130	AT1G02130	Chr1	-	400035	401882	75.600639	34.891354	63.942978
AT1G02140	AT1G02140	Chr1	-	403190	404456	452.464996	208.822525	382.694641
AT1G02190	AT1G02190	Chr1	+	415079	418010	2.820525	1.301734	2.385598
AT1G02145	AT1G02145	Chr1	+	404600	408619	26.191137	12.379651	22.687334
AT1G02150	AT1G02150	Chr1	+	408622	410611	94.198746	43.474785	79.673241
AT1G02160	AT1G02160	Chr1	+	410748	411597	43.972572	23.159456	42.442741
AT1G02170	AT1G02170	Chr1	+	411779	413554	20.616777	9.515095	17.437658
AT1G02180	AT1G02180	Chr1	-	413522	414645	7.762042	3.582353	6.565131
AT1G02220	AT1G02220	Chr1	-	428814	430647	0.297857	0.137468	0.251927
AT1G02260	AT1G02260	Chr1	-	440441	442877	14.843402	6.850556	12.554541
AT1G02270	AT1G02270	Chr1	-	443149	446235	19.953497	9.208976	16.876656
AT1G02205	AT1G02205	Chr1	+	418748	422438	187.837860	93.715698	171.746307
AT1G02280	AT1G02280	Chr1	-	448463	450426	355.955170	164.623642	301.694397
AT1G02290	AT1G02290	Chr1	-	450527	452737	23.355324	10.778995	19.753920
AT1G02300	AT1G02300	Chr1	+	453288	455463	15.309674	7.065751	12.948915
AT1G02305	AT1G02305	Chr1	+	455688	458164	46.471218	21.447487	39.305332
AT1G02310	AT1G02310	Chr1	-	458133	460696	0.000000	0.000000	0.000000
AT1G02335	AT1G02335	Chr1	-	463855	464924	2.512019	1.159352	2.124664
AT1G02340	AT1G02340	Chr1	-	465718	467844	1.091780	0.503880	0.923427
AT1G02350	AT1G02350	Chr1	+	469818	470693	7.994873	3.689809	6.762059
AT1G02320	AT1G02320	Chr1	+	461828	461974	0.000000	0.000000	0.000000
AT1G02330	AT1G02330	Chr1	-	462075	463612	82.018135	37.853168	69.370895
AT1G02370	AT1G02370	Chr1	+	474500	476511	0.000000	0.000000	0.000000
AT1G02390	AT1G02390	Chr1	+	480852	483292	0.112228	0.051796	0.094922
AT1G02380	AT1G02380	Chr1	+	477000	478971	8.179750	3.775134	6.918428
AT1G02400	AT1G02400	Chr1	+	486801	489577	1.407767	0.649715	1.190688
AT1G02410	AT1G02410	Chr1	+	490925	492926	45.519073	21.008051	38.500004
AT1G02420	AT1G02420	Chr1	+	493683	495158	0.000000	0.000000	0.000000
AT1G02430	AT1G02430	Chr1	-	495050	496062	8.668406	4.000659	7.331733
AT1G02440	AT1G02440	Chr1	-	496586	497479	0.058464	0.026982	0.049449
AT1G02460	AT1G02460	Chr1	-	504673	507204	0.708033	0.326773	0.598854
AT1G02470	AT1G02470	Chr1	-	511765	513624	0.463134	0.216996	0.397674
AT1G02475	AT1G02475	Chr1	-	513843	515404	43.928955	20.274178	37.155087
AT1G02490	AT1G02490	Chr1	+	516618	516734	0.000000	0.000000	0.000000
AT1G02500	AT1G02500	Chr1	+	518251	520437	422.954651	195.585602	358.436279
AT1G02520	AT1G02520	Chr1	+	523651	528745	0.051408	0.023726	0.043481
AT1G02530	AT1G02530	Chr1	+	529795	534677	0.348799	0.160978	0.295014
AT1G02560	AT1G02560	Chr1	+	537860	540109	542.529968	250.389481	458.871552
AT1G02640	AT1G02640	Chr1	+	564205	567769	15.215255	7.022174	12.869054
AT1G02650	AT1G02650	Chr1	+	568704	570418	0.772308	0.356437	0.653218
AT1G02660	AT1G02660	Chr1	-	571955	574981	1.398620	0.645494	1.182952
AT1G02670	AT1G02670	Chr1	+	576046	580299	5.573588	2.572333	4.714138
AT1G02680	AT1G02680	Chr1	+	580625	582310	41.140015	18.987019	34.796204
AT1G02710	AT1G02710	Chr1	-	589706	589996	0.000000	0.000000	0.000000
AT1G02720	AT1G02720	Chr1	+	591826	594236	23.069483	11.059687	20.268324
AT1G02690	AT1G02690	Chr1	+	584260	587219	69.504463	32.123768	58.871017
AT1G02730	AT1G02730	Chr1	-	594573	598657	49.885689	23.023336	42.193283
AT1G02740	AT1G02740	Chr1	-	599416	602038	14.974783	6.911191	12.665662
AT1G02750	AT1G02750	Chr1	+	602497	604292	11.920899	5.501756	10.082689
AT1G02790	AT1G02790	Chr1	-	610391	612324	0.340772	0.157274	0.288225
AT1G02800	AT1G02800	Chr1	-	613216	616191	13.857056	6.395335	11.720290
AT1G02810	AT1G02810	Chr1	+	618265	620480	1.505771	0.694946	1.273580
AT1G02816	AT1G02816	Chr1	+	621461	622469	0.000000	0.000000	0.000000
AT1G02820	AT1G02820	Chr1	-	623765	624475	2.294309	1.058874	1.940525
AT1G02840	AT1G02840	Chr1	+	626741	629819	194.502197	113.349403	207.727631
AT1G02850	AT1G02850	Chr1	+	630505	633259	0.111973	0.051764	0.094865
AT1G02860	AT1G02860	Chr1	+	635144	637262	4.435729	2.047186	3.751737
AT1G02870	AT1G02870	Chr1	-	637214	638677	127.836853	58.999512	108.124336
AT1G02880	AT1G02880	Chr1	-	642752	644903	16.325439	10.484565	19.214338
AT1G02890	AT1G02890	Chr1	-	645092	651907	23.158434	10.688126	19.587391
AT1G02900	AT1G02900	Chr1	-	653765	654343	1.005181	0.463913	0.850181
AT1G02910	AT1G02910	Chr1	-	655577	658148	65.748451	30.344353	55.610004
AT1G02920	AT1G02920	Chr1	-	658657	659771	1.883604	0.869325	1.593151
AT1G02930	AT1G02930	Chr1	-	661177	662456	56.678406	26.881483	49.263840
AT1G02940	AT1G02940	Chr1	-	663079	664128	0.835279	0.385500	0.706478
AT1G02950	AT1G02950	Chr1	-	665152	666452	0.570968	0.271393	0.497364
AT1G02952	AT1G02952	Chr1	+	665354	666367	0.000000	0.000000	0.000000
AT1G02960	AT1G02960	Chr1	-	666872	669837	15.491134	7.517056	13.775991
AT1G02780	AT1G02780	Chr1	-	607808	609465	3430.111816	1583.071777	2901.186523
AT1G02970	AT1G02970	Chr1	+	673306	676378	20.924030	9.656899	17.697533
AT1G02990	AT1G02990	Chr1	-	681396	687315	9.199193	4.297403	7.875556
AT1G03000	AT1G03000	Chr1	-	687890	692560	15.618104	7.208098	13.209784
AT1G03010	AT1G03010	Chr1	+	693480	696382	0.082897	0.038259	0.070114
AT1G03030	AT1G03030	Chr1	+	701478	703864	31.528996	14.551324	26.667208
AT1G03040	AT1G03040	Chr1	-	703906	706631	70.398750	32.521637	59.600155
AT1G03050	AT1G03050	Chr1	+	707726	710041	0.101969	0.047061	0.086245
AT1G03055	AT1G03055	Chr1	-	710018	711803	3.780818	1.948383	3.570668
AT1G03060	AT1G03060	Chr1	-	712473	726891	9.289561	4.287336	7.857105
AT1G03080	AT1G03080	Chr1	-	731611	738056	14.907254	6.880024	12.608546
AT1G03110	AT1G03110	Chr1	+	749246	751963	44.928101	20.735304	38.000160
AT1G03090	AT1G03090	Chr1	+	739679	744184	16.844769	7.774230	14.247295
AT1G03100	AT1G03100	Chr1	-	743885	746479	0.000000	0.000000	0.000000
AT1G03120	AT1G03120	Chr1	+	752271	753140	0.657592	0.303493	0.556191
AT1G03130	AT1G03130	Chr1	-	753307	754198	490.006683	226.148834	414.447388
AT1G03140	AT1G03140	Chr1	-	754371	756303	1.423592	0.657019	1.204073
AT1G03150	AT1G03150	Chr1	+	756414	758612	42.637524	19.678152	36.062794
AT1G03160	AT1G03160	Chr1	+	761282	766158	35.417046	16.742985	30.683712
AT1G03170	AT1G03170	Chr1	+	769632	770684	0.562203	0.259469	0.475511
AT1G03180	AT1G03180	Chr1	+	773411	775344	18.160774	10.399182	19.057863
AT1G03190	AT1G03190	Chr1	+	775527	780062	13.249006	6.535960	11.978004
AT1G03200	AT1G03200	Chr1	+	780602	781285	0.743182	0.342995	0.628583
AT1G03210	AT1G03210	Chr1	+	782948	784240	22.609854	10.434944	19.123402
AT1G03220	AT1G03220	Chr1	+	787122	788651	0.000000	0.000000	0.000000
AT1G03230	AT1G03230	Chr1	+	790091	791592	0.000000	0.000000	0.000000
AT1G03240	AT1G03240	Chr1	-	792222	792986	1.232558	0.568853	1.042497
AT1G03250	AT1G03250	Chr1	-	793353	795376	32.499603	15.309971	28.057528
AT1G03260	AT1G03260	Chr1	-	795532	798463	18.037912	8.324892	15.256455
AT1G03270	AT1G03270	Chr1	+	799191	802436	10.459601	4.827335	8.846725
AT1G03280	AT1G03280	Chr1	+	803035	807066	47.062595	21.720419	39.805515
AT1G03290	AT1G03290	Chr1	+	807361	810868	5.411373	2.921047	5.353201
AT1G03300	AT1G03300	Chr1	-	811033	813086	19.629425	9.059410	16.602558
AT1G03310	AT1G03310	Chr1	+	813471	816749	35.036652	16.273430	29.823193
AT1G03320	AT1G03320	Chr1	+	817027	817767	1.131510	0.522217	0.957031
AT1G03330	AT1G03330	Chr1	-	817983	819563	149.730728	69.104012	126.642174
AT1G03340	AT1G03340	Chr1	+	819662	821317	2.353621	1.086248	1.990691
AT1G03350	AT1G03350	Chr1	-	822638	824393	53.095104	24.504555	44.907810
AT1G03360	AT1G03360	Chr1	+	824537	826358	44.988007	20.762951	38.050831
AT1G03365	AT1G03365	Chr1	+	826569	830383	12.141716	5.603669	10.269457
AT1G03370	AT1G03370	Chr1	+	830627	835361	5.931016	2.737294	5.016450
AT1G03380	AT1G03380	Chr1	+	835785	840940	6.082691	2.807295	5.144737
AT1G03400	AT1G03400	Chr1	-	842747	844190	0.163430	0.075427	0.138229
AT1G03430	AT1G03430	Chr1	+	847873	849500	12.048135	5.560479	10.190306
AT1G03410	AT1G03410	Chr1	-	844436	847683	13.126012	6.057942	11.101974
AT1G03420.1	AT1G03420.1	Chr1	+	846664	847739	0.000000	0.000000	0.000000
AT1G03440	AT1G03440	Chr1	+	852366	854032	0.000000	0.000000	0.000000
AT1G03445	AT1G03445	Chr1	-	854410	859701	0.095237	0.043954	0.080551
AT1G03457	AT1G03457	Chr1	-	860788	864125	33.787777	15.935423	29.203749
AT1G03470	AT1G03470	Chr1	-	865915	867733	56.418159	27.358597	50.138214
AT1G03475	AT1G03475	Chr1	-	869051	871211	230.133575	106.211685	194.646835
AT1G03495	AT1G03495	Chr1	+	873184	874935	0.000000	0.000000	0.000000
AT1G03502	AT1G03502	Chr1	-	875358	875471	0.000000	0.000000	0.000000
AT1G03510	AT1G03510	Chr1	-	876258	877547	0.000000	0.000000	0.000000
AT1G03520	AT1G03520	Chr1	-	877862	880158	8.145832	3.759480	6.889740
AT1G03530	AT1G03530	Chr1	-	880496	883391	1.406881	0.649306	1.189939
AT1G03540	AT1G03540	Chr1	+	883782	885611	0.000000	0.000000	0.000000
AT1G03550	AT1G03550	Chr1	-	885623	887956	6.828917	3.151695	5.775894
AT1G03545	AT1G03545	Chr1	+	885941	887906	4.782015	2.207005	4.044626
